#,DistributionID,distID,00distID,address,lat,lon,day,proposed_day,proposed_region,site_type,required_flexible,comments,,,,,
6,313,313 SYS,0313 SYS,11602 Calle Paracho,33.00098,-117.07918,Mon,,North,stanchion,required,,,,,,
7,20,20 SYS,0020 SYS,16000 Avenida Venusto,33.00439,-117.07428,Mon,,North,impound,required,,,,,,
8,235,235 SYS,0235 SYS,15855 Turtleback Rd.,33.00532,-117.08775,Mon,,North,stanchion,,,,,,,
9,21,21 SYS,0021 SYS,16061 Big Springs Way,33.00752,-117.084,Mon,,North,impound,required,,,,,,
10,327,327 SYS,0327 SYS,15625 New Park Terrace,33.01916,-117.14542,Mon,,North,,,,,,,,
12,19,19 SYS,0019 SYS,14800 Penasquitos Blvd @ End of Avenida Maria,32.98576,-117.0931,Mon,,North,impound,required,,,,,,
13,234A,234A SYS,0234A SYS,14300 Cuca Street,32.97401,-117.09588,Mon,,North,,,,,,,,
14,292 B1,292 SYS_B1,0292 SYS_B1,14799 Black Mountain Road,32.98523,-117.12787,Mon,,North,impound,required,,,,,,
15,292 B2,292 SYS_B2,0292 SYS_B2,14799 Black Mountain Road,32.98523,-117.12787,Mon,,North,impound,required,,,,,,
16,333,333 SYS,0333 SYS,1329 Gertrude Street,32.77259,-117.20175,Mon,Mon,central 1,,,,,,,,
17,53,53 SYS,0053 SYS,2433 Denver Street,32.7875,-117.20369,Mon,Mon,central 1,stanchion,,,,,,,
18,57,57 SYS,0057 SYS,Idlewild Way & Hidalgo Ave,32.83208,-117.22075,Mon,Mon,central 1,,,,,,,,
19,52,52 SYS,0052 SYS,Mt. Abernathy Av & Chateau Drive,32.82236,-117.17515,Mon,Mon,central 1,stanchion,,,,,,,
21,275,275 SYS,0275 SYS,2531 Old Quarry Road,32.78661,-117.12888,Mon,Mon,central 2,recycled,,,,,,,
22,174,174 SYS,0174 SYS,3250 Camino Del Rio North,32.77696,-117.12551,Mon,Mon,central 2,stanchion,required,,,,,,
23,209,209 SYS,0209 SYS,4605 Vandever Avenue,32.78762,-117.0956,Mon,Mon,central 2,,,,,,,,
24,153,153 SYS,0153 SYS,5552 Gala Avenue,32.79987,-117.06992,Mon,Mon,central 2,,,,,,,,
25,262,262 SYS,0262 SYS,6669 Linda Lane,32.78459,-117.05287,Mon,Mon,central 2,,,,,,,,
26,112,112 SYS,0112 SYS,5832 Rockhurst Court,32.78679,-117.06043,Mon,Mon,central 2,impound,required,,,,,,
27,111,111 SYS,0111 SYS,7950 Wingspan Drive,32.80771,-117.02608,Mon,,,impound,required,,,,,,
28,210,210 SYS,0210 SYS,6619 Cibola Road (In front of Park),32.80677,-117.05438,Mon,Mon,central 2,,,,,,,,
29,281,281 SYS,0281 SYS,6831 Monte Verde Drive,32.81231,-117.04814,Mon,Mon,central 2,,required,,,,,,
30,212,212 SYS,0212 SYS,Rondel Ct & Tuxedo Road at Public Park,32.80907,-117.046,Mon,Mon,central 2,,,,,,,,
31,242,242 SYS,0242 SYS,7260 Barker Way,32.81324,-117.01777,Mon,Mon,central 2,,required,,,,,,
32,152A,152A SYS,0152A SYS,8571 Highwood Drive,32.80863,-117.01377,Mon,Mon,central 2,,,,,,,,
33,1,1 SYS,0001 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,,,,,,
34,3,3 SYS,0003 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,,,,,,
35,5,5 SYS,0005 SYS,10710 Scripps Lake Drive,32.912,-117.09903,Mon,Mon,central 1,plant,required,,,,,,
36,238,238 SYS,0238 SYS,11496 Weatherhill Way,32.92741,-117.10033,Mon,,,impound,required,,,,,,
37,81,81 SYS,0081 SYS,5540 Kiowa Drive,32.78025,-117.04656,Mon,Mon,south,plant,required,,,,,,
38,82,82 SYS,0082 SYS,5540 Kiowa Drive,32.78053,-117.04553,Mon,Mon,south,plant,required,,,,,,
39,85,85 SYS,0085 SYS,5540 Kiowa Drive,32.78053,-117.04553,Mon,Mon,south,plant,required,,,,,,
40,87,87 SYS,0087 SYS,5540 Kiowa Drive,32.78053,-117.04553,Mon,Mon,south,plant,required,,,,,,
41,88,88 SYS,0088 SYS,5540 Kiowa Drive,32.78053,-117.04553,Mon,Mon,south,plant,required,,,,,,
42,90,90 SYS,0090 SYS,5540 Kiowa Drive,32.78016,-117.04094,Mon,Mon,south,plant,required,,,,,,
43,91,91 SYS,0091 SYS,5540 Kiowa Drive,32.78016,-117.04094,Mon,Mon,south,plant,required,,,,,,
44,92,92 SYS,0092 SYS,1500 Wueste Road,32.60697,-116.93268,Mon,Mon,south,plant,required,,,,,,
45,95,95 SYS,0095 SYS,1500 Wueste Road,32.60697,-116.93268,Mon,Mon,south,plant,required,,,,,,
46,96 SYS_MID,96 SYS,0096 SYS,1500 Wueste Road,32.60697,-116.93268,Mon,Mon,south,plant,required,,,,,,
47,99 SYS MID,99 SYS,0099 SYS,1500 Wueste Road,32.60697,-116.93268,Mon,Mon,south,plant,required,,,,,,
48,223,223 SYS,0223 SYS,8441 New Salem Street,32.91573965,-117.1419274,Tue,Tue,central 1,stanchion,required,,,,,,
49,282A,282A SYS,0282A SYS,18169 West Bernardo Dr. Stantion at a community Park,33.04827313,-117.0736847,Tue,,,stanchion,,,,,,,
50,289,289 SYS,0289 SYS,Escala Drive & Camberwell Lane,33.04508613,-117.064166,Tue,,,stanchion,,,,,,,
51,237,237 SYS,0237 SYS,17910 Avenida Cordillera,33.04224095,-117.0516381,Tue,,,stanchion,,,,,,,
53,67,67 SYS,0067 SYS,Pomerado Rd & Grandee Place,33.02665117,-117.0598959,Tue,,,stanchion,required,,,,,,
54,304,304 SYS,0304 SYS,14462 Garden Trail,32.98503285,-117.1640293,Tue,,,stanchion,required,,,,,,
55,279,279 SYS,0279 SYS,10885 Cloverhurst Way,32.93173117,-117.2016121,Tue,,,stanchion,,,,,,,
57,229,229 SYS,0229 SYS,Carmel Park Drive & Del Mar Glen,32.94130151,-117.2293228,Tue,,,stanchion,required,,,,,,
58,286,286 SYS,0286 SYS,13510 Sword Way,32.96287627,-117.215375,Tue,,,stanchion,,,,,,,
59,179,179 SYS,0179 SYS,13075 Hartfield Avenue,32.95642392,-117.230207,Tue,,,stanchion,,,,,,,
60,230,230 SYS,0230 SYS,Caminito Mar De Plata & Caminito Foraleza,32.98323604,-117.2461571,Tue,,,stanchion,,,,,,,
61,261,261 SYS,0261 SYS,Via Campestre & Caminito Punta Arenas,32.98468868,-117.2440376,Tue,,,stanchion,required,,,,,,
62,65,65 SYS,0065 SYS,El Amigo Road & Durango Drive,32.9503062,-117.2531234,Tue,,,stanchion,,,,,,,
64,49A,49A SYS,0049A SYS,10620 John Jay Hopkins Dr.,32.89445747,-117.2403157,Tue,Tue,central 1,,required,,,,,,
65,48,48 SYS,0048 SYS,Eads Ave & Coast Blvd S,32.845981,-117.277844,Tue,Tue,central 1,,,,,,,,
66,218,218 SYS,0218 SYS,2110 Via Casa Alta,32.83938439,-117.2511963,Tue,Tue,central 1,,required,,,,,,
67,14,14 SYS,0014 SYS,La Jolla Scienic Drive & Via Casa Alta,32.838374,-117.248676,Tue,Tue,central 1,impound,required,,,,,,
68,55A,55A SYS,055A SYS,5183 Arvinels Avenue,32.83985866,-117.1751364,Tue,Tue,central 2,,required,,,,,,
69,182,182 SYS,0182 SYS,6475 Antigua Blvd.,32.83687169,-117.0902109,Tue,Tue,central 2,,,,,,,,
70,78A,78A SYS,0078A SYS,6200 Calle Mariselda,32.83500791,-117.0971281,Tue,Tue,central 2,,required,,,,,,
71,77A,77A SYS,0077A SYS,Palabra Circle,32.824173,-117.079617,Tue,Tue,central 2,,,,,,,,
72,214,214 SYS,0214 SYS,4711 Seda Drive,32.82698955,-117.0807863,Tue,Tue,central 2,,,,,,,,
