,FAC_NAME,site_match,FAC_SEQ_NUM,FAC_TYP_CD,FACTYPDESC,INFRASTRUC,PRESSR_ZN_NM,PRESSR_ZN_QTY,SIZE_NUM,SMPL_TYP_CD,FEED_SRC_NM,MAPNG_STAT_CD,FNCTNL_CD,OWNERSHIP_CD,OWNERSHIP_CD_DESC,STRT_ADDR_TYP_CD,DIV_MAINT_BY_CD,DIV_DESC,INTERCEPTOR_IND,STA_PRIM_NUM,STA_SCNDRY_NUM,ACTL_INST_DT_IND,INST_DT,LOCN_DESC_TXT,OLD_SPLASH1_DWO_ID,OLD_SPLASH1_WORK_ORDR_ID,GPS_SURVEYOR_IND,GPS_X_COORD_NUM,GPS_Y_COORD_NUM,FAC_STAT_CD,MAP_ID,FLD_BK_PAGE_NUM,FLD_BK_GRID_NUM,THOMAS_BROTHERS_CD,STRT_NUM,STRT_PREDIR_CD,STRT_NM,STRT_SFX_CD,STRT_UNIT_NUM,STRT_GATED_COMNTY_IND,NAD83E_NUM,NAD83N_NUM,NAD27E_NUM,NAD27N_NUM,OLD_FAC_SEQ_NUM,SENSITIVE_LAND_IND,GEOMETRY_ORIENTATION,DRAWG_NUM,DRAWG_SHEET_NUM,DRAWG_TYP_CD,DRAWG_TYP_CD_DESC,IAMFLOC,SAPOBJNR
158,254 SYS,NA,540186,SLOC,SAMPLE LOCATION,W,RANCHO BERNARDO,793,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,PLAZA DOLORES & PLAZA MARIA,1,NA,N,0,0,A,423,L08N,6,1170D1,17387,,PLAZA DOLORES,,,NA,6316006.001,1954829.875,1754621.861,314385.8753,NA,N,47.41,NA,NA,,NA,UW-WS-TRN-SLOC-S116,IF?0100000000000142507
161,292 SYS B1 BOT,NA,6269848,SLOC,SAMPLE LOCATION,W,RANCHO BERNARDO,793,0,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BLACK MTN RESV1 BOTTOM LEVEL,NA,NA,N,0,0,A,120,H04N,6,1189D1,0,,,,,NA,6292403.353,1939529.695,1731019.095,299085.6949,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S217,IF?0100000000000141660
162,292 SYS_B1 MID,NA,6269849,SLOC,SAMPLE LOCATION,W,RANCHO BERNARDO,793,0,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BLACK MTN RESV1 MID LEVEL,NA,NA,N,0,0,A,121,H04N,6,1189D1,0,,,,,NA,6292390.335,1939529.606,1731006.077,299085.6063,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S218,IF?0100000000000141725
163,292 SYS B1 TOP,NA,6269958,SLOC,SAMPLE LOCATION,W,RANCHO BERNARDO,793,0,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BLACK MTN RESV1 TOP LEVEL,NA,NA,N,0,0,A,122,H04N,6,1189D1,0,,,,,NA,6292376.473,1939529.606,1730992.215,299085.6063,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S219,IF?0100000000000141779
164,292 SYS B2 TOP,NA,6269959,SLOC,SAMPLE LOCATION,W,RANCHO BERNARDO,793,0,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BLACK MTN RESV2 TOP LEVEL,NA,NA,N,0,0,A,123,H04N,6,1189D1,0,,,,,NA,6292376.385,1939519.108,1730992.126,299075.1076,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S220,IF?0100000000000141482
165,292 SYS_B2 MID,NA,6269960,SLOC,SAMPLE LOCATION,W,RANCHO BERNARDO,793,0,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BLACK MTN RESV2 MID LEVEL,NA,NA,N,0,0,A,124,H04N,6,1189D1,0,,,,,NA,6292390.335,1939518.698,1731006.077,299074.6975,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S221,IF?0100000000000141602
166,292 SYS B2 BOT,NA,6269961,SLOC,SAMPLE LOCATION,W,RANCHO BERNARDO,793,0,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BLACK MTN RESV2 BOTTOM LEVEL,NA,NA,N,0,0,A,125,H04N,6,1189D1,0,,,,,NA,6292402.72,1939518.425,1731018.462,299074.4252,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S222,IF?0100000000000141659
169,151 SYS,NA,538379,SLOC,SAMPLE LOCATION,W,REDWOOD VILLAGE,645,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,MONTEZUMA RD/54TH ST; SAMPLE STANCHION,NA,NA,N,0,0,A,449,K17S,2,1270B2,0,,,,,NA,6306849.695,1861365.282,1745465.509,220921.2822,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S111,IF?0100000000000142350
171,S108,NA,5065223,SLOC,SAMPLE LOCATION,W,REDWOOD VILLAGE,645,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,Y,?9?/?14?/?97? ?5?:?00? ?PM,"HUGHES ST/JODI ST, NORTH OF RESERVOIR",NA,NA,N,0,0,A,598,L19S,1,1270C5,6056,,HUGHES,ST,,NA,6310441.165,1853145.525,1749056.997,212701.5249,NA,Y,53.98,27950,9,D,NA,UW-WS-TRN-SLOC-S043,IF?0100000000000141768
174,297,NA,5504026,SLOC,SAMPLE LOCATION,W,REMINGTON HILLS,543,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,1514 CLANTON PL,NA,NA,N,0,0,A,516,M35S,5,1350G2,10940,,SCRIPPS RANCH,BL,,NA,6318612.897,1786631.371,1757228.77,146187.3714,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S269,IF?0100000000000141175
