,FAC_NAME,site_match,FAC_SEQ_NUM,FAC_TYP_CD,FACTYPDESC,INFRASTRUC,PRESSR_ZN_NM,PRESSR_ZN_QTY,SIZE_NUM,SMPL_TYP_CD,FEED_SRC_NM,MAPNG_STAT_CD,FNCTNL_CD,OWNERSHIP_CD,OWNERSHIP_CD_DESC,STRT_ADDR_TYP_CD,DIV_MAINT_BY_CD,DIV_DESC,INTERCEPTOR_IND,STA_PRIM_NUM,STA_SCNDRY_NUM,ACTL_INST_DT_IND,INST_DT,LOCN_DESC_TXT,OLD_SPLASH1_DWO_ID,OLD_SPLASH1_WORK_ORDR_ID,GPS_SURVEYOR_IND,GPS_X_COORD_NUM,GPS_Y_COORD_NUM,FAC_STAT_CD,MAP_ID,FLD_BK_PAGE_NUM,FLD_BK_GRID_NUM,THOMAS_BROTHERS_CD,STRT_NUM,STRT_PREDIR_CD,STRT_NM,STRT_SFX_CD,STRT_UNIT_NUM,STRT_GATED_COMNTY_IND,NAD83E_NUM,NAD83N_NUM,NAD27E_NUM,NAD27N_NUM,OLD_FAC_SEQ_NUM,SENSITIVE_LAND_IND,GEOMETRY_ORIENTATION,DRAWG_NUM,DRAWG_SHEET_NUM,DRAWG_TYP_CD,DRAWG_TYP_CD_DESC,IAMFLOC,SAPOBJNR
224,301 SYS,NA,5504029,SLOC,SAMPLE LOCATION,W,STALLIONS CROSSING,263,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,N,,13782 ROSECROFT WY,1,NA,N,0,0,A,509,C02N,2,1187J3,13782,,ROSECROFT,WY,,NA,6258671.864,1934000.883,1697287.437,293556.8825,NA,N,128.4,NA,NA,,NA,UW-WS-TRN-SLOC-S272,IF?0100000000000141037
235,58 SYS,NA,522860,SLOC,SAMPLE LOCATION,W,UNIVERSITY HEIGHTS,390,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,GOSHEN ST/LINDA VISTA RD; SAMPLE STANCHION SE CORNER,NA,NA,N,0,0,A,483,E17S,3,1268G2,0,,,,,NA,6273349.18,1861240.331,1711964.827,220796.3314,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S077,IF?0100000000000142163
239,58A SYS,NA,5504028,SLOC,SAMPLE LOCATION,W,UNIVERSITY HEIGHTS,390,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,1391 GERTRUDE ST; SILVER SAMPLE STANCHION,NA,NA,N,0,0,A,482,E16S,4,1.27E+05,0,,,,,NA,6269272.799,1862661.818,1707888.425,222217.8176,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S271,IF?0100000000000140955
240,172 SYS,NA,5534516,SLOC,SAMPLE LOCATION,W,UNIVERSITY HEIGHTS,390,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,200 BLK MARINA PARK WY,NA,NA,N,0,0,A,1039,G23S,1,1289A4,200,,MARINA PARK,WY,,NA,6280742.733,1837639.846,1719358.417,197195.8458,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S303,IF?0100000000000140818
243,RAW,NA,5062459,SLOC,SAMPLE LOCATION,W,,0,0,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,Y,?4?/?30?/?97? ?5?:?00? ?PM,,NA,NA,N,0,0,A,425,R32S,3,1332B3,0,,,,,NA,6351880.518,1801190.636,1790496.558,160746.6365,NA,Y,-0.43,26564,6,D,NA,UW-WS-TRN-SLOC-S001,IF?0100000000000141597
252,308 SYS,NA,5510254,SLOC,SAMPLE LOCATION,W,,0,0,,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,LOC PER J. PASEK 12/21/04,NA,NA,N,0,0,A,998,J04S,4,1209G4,0,,,,,NA,6298648.258,1910993.481,1737264.031,270549.481,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S277,IF?0100000000000141310
253,310 SYS,NA,5510256,SLOC,SAMPLE LOCATION,W,,0,0,,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,LOC PER J. PASEK 12/21/04,NA,NA,N,0,0,A,375,D06S,5,1228D1,0,,,,,NA,6266335.295,1902696.27,1704950.907,262252.2697,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S279,IF?0100000000000141054
254,311 SYS,NA,5510257,SLOC,SAMPLE LOCATION,W,,0,0,,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,LOC PER J. PASEK 12/21/04,NA,NA,N,0,0,A,976,E08S,1,1.23E+06,0,,,,,NA,6269432.73,1897381.555,1708048.357,256937.5551,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S280,IF?0100000000000141111
255,312 SYS,NA,5510258,SLOC,SAMPLE LOCATION,W,,0,0,,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,A,,,N,0,0,N,,LOC PER J. PASEK 12/21/04,NA,NA,N,0,0,A,646,E09S,6,1228F5,6431,,GULLSTRAND,ST,,NA,6272681.604,1891429.281,1711297.248,250985.2815,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S281,IF?0100000000000141215
256,CWA 10,NA,5534514,SLOC,SAMPLE LOCATION,W,,0,0,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,AT CWA #10 BLACK MOUNTAIN INTERANGENCY METER SITE,NA,NA,N,0,0,A,514,H04N,6,1189D1,0,,,,,NA,6292117.077,1938655.466,1730732.817,298211.4659,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S301,IF?0100000000000140647
257,CWA 14,NA,5534515,SLOC,SAMPLE LOCATION,W,,0,0,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,AT CWA #14 BERNARDO CENTER INTERANGENCY METER SITE,NA,NA,N,0,0,A,711,K07N,3,1170A2,0,,,,,NA,6308697.644,1952762.487,1747313.468,312318.4869,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S302,IF?0100000000000140698
258,CWA 11,NA,5534518,SLOC,SAMPLE LOCATION,W,,0,0,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,AT CWA #11 SHEPARD CANYON INTERANGENCY METER SITE,NA,NA,N,0,0,A,178,K10S,4,1230A6,0,,,,,NA,6305740.935,1887502.956,1744356.744,247058.956,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S304,IF?0100000000000140542
260,MIRAMAR ROAD PIPELINE,NA,6271055,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,245,4,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,176,I06S,2,1209F6,0,,,,,NA,6295022.251,1906116.68,1733638.006,265672.6798,NA,N,-1.58,30669,39,D,NA,UW-WS-TRN-SLOC-S223,IF?0100000000000141724
261,MIRAMAR ROAD PIPELINE,NA,6271056,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,227,95,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,177,I06S,1,1.21E+09,0,,,,,NA,6293403.576,1906070.722,1732019.323,265626.7218,NA,N,179.51,30669,36,D,NA,UW-WS-TRN-SLOC-S224,IF?0100000000000141778
262,MIRAMAR ROAD PIPELINE,NA,6271057,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,2,52,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,389,E07S,3,1228F1,0,,,,,NA,6273354.482,1901556.919,1711970.128,261112.9193,NA,N,-1.74,30669,8,D,NA,UW-WS-TRN-SLOC-S225,IF?0100000000000141450
263,MIRAMAR ROAD PIPELINE,NA,6271058,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,15,85,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,390,E07S,3,1228G2,0,,,,,NA,6274094.311,1900511.955,1712709.961,260067.9554,NA,Y,-57.52,30669,9,D,NA,UW-WS-TRN-SLOC-S226,IF?0100000000000141540
264,MIRAMAR ROAD PIPELINE,NA,6271059,SLOC,SAMPLE LOCATION,W,,0,1,,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,29,93,N,,,NA,NA,N,0,0,A,576,F07S,4,1228G2,0,,,,,NA,6275229.619,1900182.566,1713845.276,259738.5656,NA,Y,9.72,NA,NA,,NA,UW-WS-TRN-SLOC-S227,IF?0100000000000141626
265,MIRAMAR ROAD PIPELINE,NA,6271060,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,52,49,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,577,F07S,2,1228H2,0,,,,,NA,6277466.877,1900549.921,1716082.544,260105.9213,NA,N,9.35,30669,14,D,NA,UW-WS-TRN-SLOC-S228,IF?0100000000000141511
266,MIRAMAR ROAD PIPELINE,NA,6271061,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,74,73,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,578,F07S,3,1228J1,0,,,,,NA,6279653.944,1900534.948,1718269.622,260090.9475,NA,N,11.42,30669,17,D,NA,UW-WS-TRN-SLOC-S229,IF?0100000000000141581
267,MIRAMAR ROAD PIPELINE,NA,6271062,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,83,31,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,248,G07S,1,1228J1,0,,,,,NA,6280495.955,1900698.937,1719111.637,260254.937,NA,N,10.93,30669,18,D,NA,UW-WS-TRN-SLOC-S230,IF?0100000000000141673
268,MIRAMAR ROAD PIPELINE,NA,6271063,SLOC,SAMPLE LOCATION,W,,0,1,,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,101,34,N,,,NA,NA,N,0,0,A,249,G07S,1,1229A1,0,,,,,NA,6282234.268,1901071.096,1720849.96,260627.0958,NA,Y,-148.73,NA,NA,,NA,UW-WS-TRN-SLOC-S231,IF?0100000000000141339
269,MIRAMAR ROAD PIPELINE,NA,6271064,SLOC,SAMPLE LOCATION,W,,0,1,,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,123,93,N,,,NA,NA,N,0,0,A,250,G07S,2,1229A1,0,,,,,NA,6284124.281,1902329.915,1722739.982,261885.9147,NA,N,-146.43,NA,NA,,NA,UW-WS-TRN-SLOC-S232,IF?0100000000000141462
270,MIRAMAR ROAD PIPELINE,NA,6271065,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,146,36,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,874,G06S,6,1209B7,0,,,,,NA,6285973.947,1903577.769,1724589.657,263133.769,NA,N,-145.51,30669,26,D,NA,UW-WS-TRN-SLOC-S233,IF?0100000000000141491
271,MIRAMAR ROAD PIPELINE,NA,6271066,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,162,45,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,310,H06S,1,1209C7,0,,,,,NA,6287315.712,1904480.144,1725931.429,264036.1444,NA,N,-146.92,30669,28,D,NA,UW-WS-TRN-SLOC-S234,IF?0100000000000141611
272,MIRAMAR ROAD PIPELINE,NA,6271067,SLOC,SAMPLE LOCATION,W,,0,1,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,179,73,Y,?6?/?9?/?02? ?5?:?00? ?PM,,NA,NA,N,0,0,A,311,H06S,2,1209C6,0,,,,,NA,6288765.41,1905447.441,1727381.134,265003.4409,NA,N,-143.45,30669,30,D,NA,UW-WS-TRN-SLOC-S235,IF?0100000000000141687
273,MIRAMAR ROAD PIPELINE,NA,6271068,SLOC,SAMPLE LOCATION,W,,0,1,,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,203,43,N,,,NA,NA,N,0,0,A,312,H06S,3,1209D6,0,,,,,NA,6290972.835,1906067.372,1729588.57,265623.372,NA,N,-179.77,NA,NA,,NA,UW-WS-TRN-SLOC-S236,IF?0100000000000141516
1,209 SYS,TRUE,534843,SLOC,SAMPLE LOCATION,W,ALLIED GARDENS,355,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,4605 VANDEVER AVE; (W. END OR PUBLIC PARK) SAMPLE STANCHION,NA,NA,N,0,0,A,349,J15S,5,1249J7,4605,,VANDEVER,AV,,NA,6301791.001,1867336.877,1740406.79,226892.8766,NA,N,179.54,NA,NA,,NA,UW-WS-TRN-SLOC-S103,IF?0100000000000142318
2,60 SYS,TRUE,527280,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,3902 9TH  AV; FIRE STATION/SAMPLE STANCHION,NA,NA,N,0,0,A,703,G19S,2,1269B5,0,,,,,NA,6282931.47,1853361.837,1721547.164,212917.8373,NA,N,89.93,NA,NA,,NA,UW-WS-TRN-SLOC-S084,IF?0100000000000142256
4,116 SYS,TRUE,5053998,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.38,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,Y,?11?/?19?/?96? ?4?:?00? ?PM,4010 IDAHO ST,NA,NA,N,0,0,A,1171,H18S,5,1269D4,0,,,,,NA,6289579.577,1855403.816,1728195.305,214959.8156,NA,N,178.23,26314,5,D,NA,UW-WS-TRN-SLOC-S002,IF?0100000000000141648
5,114 SYS,TRUE,5054000,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,Y,?11?/?19?/?96? ?4?:?00? ?PM,4010 IDAHO ST,NA,NA,N,0,0,A,1172,H18S,5,1269D4,0,,,,,NA,6289580.322,1855613.583,1728196.049,215169.5827,NA,N,179.52,26314,5,D,NA,UW-WS-TRN-SLOC-S003,IF?0100000000000141742
6,144 SYS,TRUE,5529615,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,BROOKLINE & DATE,NA,NA,N,0,0,A,617,J21S,6,1289J2,0,,,,,NA,6302846.001,1844044.626,1741461.795,203600.626,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S294,IF?0100000000000140564
7,82 SYS,TRUE,5207085,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,PUMP STATION CONCRETE VAULT - EAST,NA,NA,N,0,0,A,409,M16S,1,1.25E+10,5540,,KIOWA,DR,,NA,6317071.102,1864804.954,1755686.968,224360.9541,NA,N,-30.43,NA,NA,,NA,UW-WS-TRN-SLOC-S169,IF?0100000000000141638
8,81 SYS,TRUE,5207086,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,PUMP STATION CONCRETE VAULT - WEST,NA,NA,N,0,0,A,410,M16S,1,1.27E+04,5540,,KIOWA,DR,,NA,6316941.355,1864755.295,1755557.22,224311.2953,NA,N,-125.28,NA,NA,,NA,UW-WS-TRN-SLOC-S170,IF?0100000000000141966
9,90 SYS,TRUE,5207087,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DR,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,EARL THOMAS RESERVOIR,NA,NA,N,0,0,A,411,M16S,1,1270F1,5540,,KIOWA,DR,,NA,6318384.967,1864675.856,1757000.839,224231.8563,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S171,IF?0100000000000142115
11,85 SYS,TRUE,5207898,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,1,ALVARADO PLANT,N,0,0,N,,AVARADO INFLUENT AT FILTRATION PLANT,NA,1,N,0,0,A,413,M16S,1,1250F7,0,,,,,NA,6317931.345,1864820.735,1756547.215,224376.7349,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S194,IF?0100000000000141484
12,87 SYS,TRUE,5207899,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,1,ALVARADO PLANT,N,0,0,N,,AVARADO EFFLUENT AT FILTRATION PLANT,NA,1,N,0,0,A,414,M16S,1,1250F7,0,,,,,NA,6318033.196,1864821.759,1756649.066,224377.7585,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S195,IF?0100000000000141605
13,285 SYS,TRUE,5503982,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,JAMACHA RD AND 68TH ST (SE CORNER NEAR PLAYGROUND  OF BOYS CLUB),NA,NA,N,0,0,A,900,L22S,6,1.29E+06,15022,,AVNDA VENUSTO,,,NA,6315216.001,1839205.751,1753831.857,198761.7513,NA,N,88.91,NA,NA,,NA,UW-WS-TRN-SLOC-S261,IF?0100000000000141180
14,148 SYS,TRUE,5529616,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,UPAS & RICHMOND,NA,NA,N,0,0,A,1097,G19S,6,1269B6,0,,,,,NA,6284607.756,1850560.151,1723223.459,210116.1509,NA,N,-179.75,NA,NA,,NA,UW-WS-TRN-SLOC-S295,IF?0100000000000140608
15,153 SYS,TRUE,5534519,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,5552 GALA AV,NA,NA,N,0,0,A,597,K14S,6,1250C5,0,,,,,NA,6309742.966,1871847.247,1748358.795,231403.2474,NA,N,45.97,NA,NA,,NA,UW-WS-TRN-SLOC-S305,IF?0100000000000140584
16,334 SYS,TRUE,5565664,SLOC,SAMPLE LOCATION,W,ALVARADO,536,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,6070 DIVISION ST,NA,NA,N,0,0,A,535,K24S,3,1290C5,15022,,AVNDA VENUSTO,,,NA,6310056.791,1833525.659,1748672.622,193081.6594,NA,N,17.2,NA,NA,,NA,UW-WS-TRN-SLOC-S321,IF?0100000000000140527
18,239 SYS,TRUE,533042,SLOC,SAMPLE LOCATION,W,ARNOLD HILLS,358,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,N,,1761 PETRA DR,1,NA,N,0,0,A,617,I21S,5,1289F2,1761,,PETRA,DR,,NA,6294630.522,1844404.977,1733246.275,203960.977,NA,N,-42.76,NA,NA,,NA,UW-WS-TRN-SLOC-S096,IF?0100000000000142551
19,278 SYS,TRUE,5212266,SLOC,SAMPLE LOCATION,W,ARROYO SORRENTO,470,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,TORREY VIEW CT ACROSS FROM PYXIS,NA,NA,N,0,0,A,431,C03S,5,1208A3,0,,,,,NA,6259824.029,1916275.778,1698439.608,275831.7776,NA,N,87.42,NA,NA,,NA,UW-WS-TRN-SLOC-S201,IF?0100000000000141777
21,204A SYS,TRUE,5529672,SLOC,SAMPLE LOCATION,W,BAY TERRACE,490,0,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,2787 ALTA VIEW DR,NA,NA,N,0,0,A,783,M25S,4,1310F1,0,,,,,NA,6317618.747,1826534.108,1756234.615,186090.1076,NA,N,75.04,NA,NA,,NA,UW-WS-TRN-SLOC-S297,IF?0100000000000140745
22,215 SYS,TRUE,518533,SLOC,SAMPLE LOCATION,W,BAYVIEW,463,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,ACROSS FROM 5105 SOLEDAD RD.  SAMPLE STANCHION,NA,NA,N,0,0,A,459,C13S,1,1248A4,0,,,,,NA,6257544.501,1876505.627,1696160.069,236061.6266,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S068,IF?0100000000000141757
23,313 SYS,TRUE,5525476,SLOC,SAMPLE LOCATION,W,BERNARDO HEIGHTS,1020,0,DP,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,,,,N,0,0,N,,11602 CALLE PARACHO,NA,NA,N,0,0,A,891,K05N,2,1170A5,0,,,,,NA,6307473.314,1944931.191,1746089.131,304487.1909,NA,N,-69,NA,NA,,NA,UW-WS-TRN-SLOC-S286,IF?0100000000000140690
24,67 SYS,TRUE,540068,SLOC,SAMPLE LOCATION,W,BERNARDO OAKS,680,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,POMERADO RD/GRANDEE PL; SAMPLE STANCHION,NA,1,N,0,0,A,529,L07N,2,1170C2,0,,,,,NA,6313370.499,1954388.875,1751986.346,313944.8747,NA,N,49.79,NA,NA,,NA,UW-WS-TRN-SLOC-S115,IF?0100000000000142428
25,282 SYS,TRUE,5212287,SLOC,SAMPLE LOCATION,W,BERNARDO OAKS,680,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,N,,18402 W. BERNARDO DR. STANCHION AT COMMUNITY PARK,NA,NA,N,0,0,A,319,K09N,3,1150A6,18402,,WEST BERNARDO,DR,,NA,6309189.167,1961940.364,1747804.993,321496.3642,NA,N,88.5,NA,NA,,NA,UW-WS-TRN-SLOC-S204,IF?0100000000000141646
26,282A SYS,TRUE,5593629,SLOC,SAMPLE LOCATION,W,BERNARDO OAKS,680,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,N,,18169 WEST BERNARDO DR; NEXT TO HYD MAPID 14,NA,NA,N,0,0,A,320,K09N,3,1150A6,18169,,WEST BERNARDO,DR,,NA,6309335.289,1962106.673,1747951.115,321662.6732,NA,N,1.07,NA,NA,,NA,UW-WS-TRN-SLOC-S335,IF?0100000000000140730
27,237 SYS,TRUE,540295,SLOC,SAMPLE LOCATION,W,BERNARDO TRAILS,800,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,17910 AVENIDA CORDILLERA,NA,NA,N,0,0,A,484,L09N,6,1150D6,17910,,AVNDA CORDILLERA,,,NA,6315982.001,1960016.25,1754597.861,319572.25,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S117,IF?0100000000000142219
28,304 SYS,TRUE,5524135,SLOC,SAMPLE LOCATION,W,BLACK MTN RANCH,520,0,DP,NA,OPERATIONAL,Y,SD,CITY OF SAN DIEGO,A,,,N,0,0,N,,14462 GARDEN TRAIL,NA,NA,N,0,0,A,571,G04N,4,1188J1,14462,,GARDEN,TL,,NA,6281500.489,1939342.844,1720116.176,298898.8445,NA,Y,-145.74,NA,NA,,NA,UW-WS-TRN-SLOC-S282,IF?0100000000000141267
29,240 SYS,TRUE,526676,SLOC,SAMPLE LOCATION,W,CABRILLO PALISADES,635,0.75,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,A,WO,WATER OPERATIONS,N,0,0,N,,3387 KEARNY VILLA LN.,1,NA,N,0,0,A,454,G14S,2,1249B4,3365,,KEARNY VILLA,LN,,NA,6284099.501,1874063.127,1722715.202,233619.1266,NA,N,-130.15,NA,NA,,NA,UW-WS-TRN-SLOC-S083,IF?0100000000000142157
30,279 SYS,TRUE,5212267,SLOC,SAMPLE LOCATION,W,CARMEL COUNTRY,495,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,F,WO,WATER OPERATIONS,N,0,0,Y,?3?/?15?/?09? ?5?:?00? ?PM,10885 CLOVERHURST WY,NA,NA,N,0,0,A,291,E02S,4,1.21E+04,10885,,CLOVERHURST,WY,,NA,6269706.004,1920195.075,1708321.632,279751.0755,NA,Y,0,NA,NA,,NA,UW-WS-TRN-SLOC-S202,IF?0100000000000141400
31,233 SYS,TRUE,5205450,SLOC,SAMPLE LOCATION,W,CARMEL MALL,920,2,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,12119 WORLD TRADE DR,NA,NA,N,0,0,A,996,K04N,6,1190A1,12119,,WORLD TRADE,DR,,NA,6309220.781,1938490.177,1747836.607,298046.1772,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S167,IF?0100000000000141759
32,236 SYS,TRUE,5205451,SLOC,SAMPLE LOCATION,W,CARMEL MALL,920,0.5,,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,15022 AVENIDA VENUSTO,NA,NA,N,0,0,A,101,L04N,1,1170B6,15022,,AVNDA VENUSTO,,,NA,6310959.006,1941921.112,1749574.841,301477.1122,NA,N,0,NA,NA,,NA,UW-WS-TRN-SLOC-S168,IF?0100000000000141707
33,229 SYS,TRUE,517389,SLOC,SAMPLE LOCATION,W,CARMEL VALLEY,330,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,CARMEL PARK DR/DEL MAR GLEN; PUBLIC SCHOOL/SAMPLE STANCHION,NA,NA,N,0,0,A,523,C01S,6,1188A7,0,,,,,NA,6261239.268,1923567.74,1699854.855,283123.7395,NA,N,-21.11,NA,NA,,NA,UW-WS-TRN-SLOC-S061,IF?0100000000000142194
35,201 SYS,TRUE,542552,SLOC,SAMPLE LOCATION,W,CARMEL VIEW,346,0.5,DP,NA,AS BUILT,Y,SD,CITY OF SAN DIEGO,,WO,WATER OPERATIONS,N,0,0,N,,1880 SMYTHE AVE.; SAMPLE STANCHION INFRONT OF SCHOOL,NA,1,N,0,0,A,462,L36S,3,1350F2,1880,,SMYTHE,AV,,NA,6315284.501,1785854.124,1753900.358,145410.124,NA,N,89.73,NA,NA,,NA,UW-WS-TRN-SLOC-S123,IF?0100000000000142521
