X,distID,address,lat,lon,day,site_type,comments
EXAMPLE,326 SYS,8555 Run of the Knolls Drive,32.99057,-117.13619,Monthly,,changed from Monday
example,336 SYS,17696 Montero Road,33.02543983,-117.0524632,Monthly,stanchion,changed from Tuesday
